wp,cfg,fluid_hp,fluid_he,seed,source_s2_run_id,s3_selection_rank,s3_selected_reason,requires_s5_review
DC-B,SBVCHP_SBORC,Cyclopentane,R236ea,42,S2_DCB_SBVCHP-SBORC_Cyclopentane_R236ea_seed042_20260717T060425Z,4,greedy_incremental_hypervolume,False
DC-B,SBVCHP_SBORC,Cyclopentane,R236ea,73,S2_DCB_SBVCHP-SBORC_Cyclopentane_R236ea_seed042_20260717T060425Z,4,greedy_incremental_hypervolume,False
DC-B,SBVCHP_SBORC,Cyclopentane,R236ea,101,S2_DCB_SBVCHP-SBORC_Cyclopentane_R236ea_seed042_20260717T060425Z,4,greedy_incremental_hypervolume,False
DC-B,SBVCHP_SBORC,Cyclopentane,R236ea,202,S2_DCB_SBVCHP-SBORC_Cyclopentane_R236ea_seed042_20260717T060425Z,4,greedy_incremental_hypervolume,False
DC-B,SBVCHP_SBORC,Cyclopentane,R600,17,S2_DCB_SBVCHP-SBORC_Cyclopentane_R600_seed042_20260717T060425Z,5,greedy_incremental_hypervolume,False
DC-B,SBVCHP_SBORC,Cyclopentane,R600,42,S2_DCB_SBVCHP-SBORC_Cyclopentane_R600_seed042_20260717T060425Z,5,greedy_incremental_hypervolume,False
DC-B,SBVCHP_SBORC,Cyclopentane,R600,73,S2_DCB_SBVCHP-SBORC_Cyclopentane_R600_seed042_20260717T060425Z,5,greedy_incremental_hypervolume,False
DC-B,SBVCHP_SBORC,Cyclopentane,R600,101,S2_DCB_SBVCHP-SBORC_Cyclopentane_R600_seed042_20260717T060425Z,5,greedy_incremental_hypervolume,False
DC-B,SBVCHP_SBORC,Cyclopentane,R600,202,S2_DCB_SBVCHP-SBORC_Cyclopentane_R600_seed042_20260717T060425Z,5,greedy_incremental_hypervolume,False
DC-B,SRVCHP_SRORC,Cyclopentane,R365MFC,17,S2_DCB_SRVCHP-SRORC_Cyclopentane_R365MFC_seed042_20260717T060425Z,1,extreme_eta_p2p;extreme_exergy_efficiency,True
DC-B,SRVCHP_SRORC,Cyclopentane,R365MFC,42,S2_DCB_SRVCHP-SRORC_Cyclopentane_R365MFC_seed042_20260717T060425Z,1,extreme_eta_p2p;extreme_exergy_efficiency,True
DC-B,SRVCHP_SRORC,Cyclopentane,R365MFC,73,S2_DCB_SRVCHP-SRORC_Cyclopentane_R365MFC_seed042_20260717T060425Z,1,extreme_eta_p2p;extreme_exergy_efficiency,True
DC-B,SRVCHP_SRORC,Cyclopentane,R365MFC,101,S2_DCB_SRVCHP-SRORC_Cyclopentane_R365MFC_seed042_20260717T060425Z,1,extreme_eta_p2p;extreme_exergy_efficiency,True
DC-B,SRVCHP_SRORC,Cyclopentane,R365MFC,202,S2_DCB_SRVCHP-SRORC_Cyclopentane_R365MFC_seed042_20260717T060425Z,1,extreme_eta_p2p;extreme_exergy_efficiency,True
DC-B,SRVCHP_SRORC,R600,R227EA,17,S2_DCB_SRVCHP-SRORC_R600_R227EA_seed042_20260717T060425Z,2,extreme_energy_density_thermal,True
DC-B,SRVCHP_SRORC,R600,R227EA,42,S2_DCB_SRVCHP-SRORC_R600_R227EA_seed042_20260717T060425Z,2,extreme_energy_density_thermal,True
DC-B,SRVCHP_SRORC,R600,R227EA,73,S2_DCB_SRVCHP-SRORC_R600_R227EA_seed042_20260717T060425Z,2,extreme_energy_density_thermal,True
