wp,cfg,fluid_hp,fluid_he,seed,hv_rank_within_wp_seed,top_rank
DC-C,SRVCHP_SRORC,Cyclopentane,R600,73,3,True
DC-C,SRVCHP_SRORC,R600,R236ea,73,4,False
DC-C,SRVCHP_SRORC,R1233zd(E),R227EA,73,5,False
DC-C,SBVCHP_SBORC,Acetone,R245fa,73,6,False
DC-C,SBVCHP_SBORC,Acetone,R600,73,7,False
DC-C,SBVCHP_SBORC,Acetone,R600a,73,8,False
DC-C,SBVCHP_SBORC,Acetone,R236fa,73,9,False
DC-C,SBVCHP_SBORC,R1233zd(E),R227EA,73,10,False
DC-C,SRVCHP_SRORC,Cyclopentane,R600,101,1,True
DC-C,SRVCHP_SRORC,Acetone,R236ea,101,2,True
DC-C,SRVCHP_SRORC,Cyclopentane,R236ea,101,3,True
DC-C,SRVCHP_SRORC,R600,R236ea,101,4,False
DC-C,SRVCHP_SRORC,R1233zd(E),R227EA,101,5,False
DC-C,SBVCHP_SBORC,Acetone,R245fa,101,6,False
DC-C,SBVCHP_SBORC,Acetone,R600,101,7,False
DC-C,SBVCHP_SBORC,Acetone,R600a,101,8,False
DC-C,SBVCHP_SBORC,Acetone,R236fa,101,9,False
DC-C,SBVCHP_SBORC,R1233zd(E),R227EA,101,10,False
DC-C,SRVCHP_SRORC,Cyclopentane,R236ea,202,1,True
DC-C,SRVCHP_SRORC,Acetone,R236ea,202,2,True
DC-C,SRVCHP_SRORC,Cyclopentane,R600,202,3,True
DC-C,SRVCHP_SRORC,R600,R236ea,202,4,False
DC-C,SRVCHP_SRORC,R1233zd(E),R227EA,202,5,False
DC-C,SBVCHP_SBORC,Acetone,R245fa,202,6,False
DC-C,SBVCHP_SBORC,Acetone,R600,202,7,False
DC-C,SBVCHP_SBORC,Acetone,R600a,202,8,False
DC-C,SBVCHP_SBORC,Acetone,R236fa,202,9,False
DC-C,SBVCHP_SBORC,R1233zd(E),R227EA,202,10,False
DC-D,SRVCHP_SRORC,Acetone,R365MFC,17,1,True
DC-D,SRVCHP_SRORC,Cyclopentane,R365MFC,17,2,True
DC-D,SRVCHP_SRORC,Acetone,R236ea,17,3,True
DC-D,SRVCHP_SRORC,Cyclopentane,R227EA,17,4,False
DC-D,SBVCHP_SBORC,Acetone,R365MFC,17,5,False
DC-D,SBVCHP_SBORC,Acetone,R245fa,17,6,False
DC-D,SRVCHP_SRORC,R1233zd(E),R227EA,17,7,False
DC-D,SBVCHP_SBORC,Acetone,R236ea,17,8,False
DC-D,SBVCHP_SBORC,Acetone,R236fa,17,9,False
DC-D,SBVCHP_SBORC,R1233zd(E),R227EA,17,10,False
DC-D,SRVCHP_SRORC,Cyclopentane,R365MFC,42,1,True
DC-D,SRVCHP_SRORC,Acetone,R365MFC,42,2,True
DC-D,SRVCHP_SRORC,Acetone,R236ea,42,3,True
DC-D,SRVCHP_SRORC,Cyclopentane,R227EA,42,4,False
DC-D,SBVCHP_SBORC,Acetone,R365MFC,42,5,False
DC-D,SBVCHP_SBORC,Acetone,R245fa,42,6,False
DC-D,SRVCHP_SRORC,R1233zd(E),R227EA,42,7,False
DC-D,SBVCHP_SBORC,Acetone,R236ea,42,8,False
DC-D,SBVCHP_SBORC,Acetone,R236fa,42,9,False
DC-D,SBVCHP_SBORC,R1233zd(E),R227EA,42,10,False
DC-D,SRVCHP_SRORC,Cyclopentane,R365MFC,73,1,True
DC-D,SRVCHP_SRORC,Acetone,R365MFC,73,2,True
DC-D,SRVCHP_SRORC,Acetone,R236ea,73,3,True
DC-D,SBVCHP_SBORC,Acetone,R365MFC,73,4,False
DC-D,SBVCHP_SBORC,Acetone,R245fa,73,5,False
DC-D,SRVCHP_SRORC,Cyclopentane,R227EA,73,6,False
DC-D,SRVCHP_SRORC,R1233zd(E),R227EA,73,7,False
DC-D,SBVCHP_SBORC,Acetone,R236ea,73,8,False
DC-D,SBVCHP_SBORC,Acetone,R236fa,73,9,False
DC-D,SBVCHP_SBORC,R1233zd(E),R227EA,73,10,False
DC-D,SRVCHP_SRORC,Cyclopentane,R365MFC,101,1,True
DC-D,SRVCHP_SRORC,Acetone,R365MFC,101,2,True
DC-D,SRVCHP_SRORC,Acetone,R236ea,101,3,True
DC-D,SBVCHP_SBORC,Acetone,R365MFC,101,4,False
DC-D,SRVCHP_SRORC,Cyclopentane,R227EA,101,5,False
DC-D,SBVCHP_SBORC,Acetone,R245fa,101,6,False
DC-D,SRVCHP_SRORC,R1233zd(E),R227EA,101,7,False
DC-D,SBVCHP_SBORC,Acetone,R236ea,101,8,False
DC-D,SBVCHP_SBORC,Acetone,R236fa,101,9,False
DC-D,SBVCHP_SBORC,R1233zd(E),R227EA,101,10,False
DC-D,SRVCHP_SRORC,Acetone,R365MFC,202,1,True
DC-D,SRVCHP_SRORC,Cyclopentane,R365MFC,202,2,True
DC-D,SRVCHP_SRORC,Acetone,R236ea,202,3,True
DC-D,SBVCHP_SBORC,Acetone,R365MFC,202,4,False
DC-D,SRVCHP_SRORC,Cyclopentane,R227EA,202,5,False
DC-D,SBVCHP_SBORC,Acetone,R245fa,202,6,False
DC-D,SRVCHP_SRORC,R1233zd(E),R227EA,202,7,False
DC-D,SBVCHP_SBORC,Acetone,R236ea,202,8,False
DC-D,SBVCHP_SBORC,Acetone,R236fa,202,9,False
DC-D,SBVCHP_SBORC,R1233zd(E),R227EA,202,10,False
DC-E,SRVCHP_SRORC,Acetone,R236ea,17,1,True
DC-E,SRVCHP_SRORC,Cyclopentane,R245fa,17,2,True
DC-E,SRVCHP_SRORC,R601a,R600,17,3,True
DC-E,SRVCHP_SRORC,Cyclopentane,R227EA,17,4,False
DC-E,SRVCHP_SRORC,R1233zd(E),R227EA,17,5,False
DC-E,SBVCHP_SBORC,Acetone,R600,17,6,False
DC-E,SBVCHP_SBORC,Acetone,R236ea,17,7,False
DC-E,SBVCHP_SBORC,Acetone,R600a,17,8,False
DC-E,SBVCHP_SBORC,Acetone,R1234ze(E),17,9,False
DC-E,SBVCHP_SBORC,Cyclopentane,R227EA,17,10,False
DC-E,SRVCHP_SRORC,Acetone,R236ea,42,1,True
DC-E,SRVCHP_SRORC,Cyclopentane,R245fa,42,2,True
DC-E,SRVCHP_SRORC,R601a,R600,42,3,True
DC-E,SRVCHP_SRORC,Cyclopentane,R227EA,42,4,False
DC-E,SRVCHP_SRORC,R1233zd(E),R227EA,42,5,False
DC-E,SBVCHP_SBORC,Acetone,R600,42,6,False
DC-E,SBVCHP_SBORC,Acetone,R600a,42,7,False
DC-E,SBVCHP_SBORC,Acetone,R236ea,42,8,False
DC-E,SBVCHP_SBORC,Acetone,R1234ze(E),42,9,False
DC-E,SBVCHP_SBORC,Cyclopentane,R227EA,42,10,False
DC-E,SRVCHP_SRORC,Acetone,R236ea,73,1,True
DC-E,SRVCHP_SRORC,Cyclopentane,R245fa,73,2,True
DC-E,SRVCHP_SRORC,R601a,R600,73,3,True
DC-E,SRVCHP_SRORC,R1233zd(E),R227EA,73,4,False
DC-E,SRVCHP_SRORC,Cyclopentane,R227EA,73,5,False
DC-E,SBVCHP_SBORC,Acetone,R600,73,6,False
DC-E,SBVCHP_SBORC,Acetone,R236ea,73,7,False
DC-E,SBVCHP_SBORC,Acetone,R600a,73,8,False
DC-E,SBVCHP_SBORC,Acetone,R1234ze(E),73,9,False
DC-E,SBVCHP_SBORC,Cyclopentane,R227EA,73,10,False
DC-E,SRVCHP_SRORC,Acetone,R236ea,101,1,True
DC-E,SRVCHP_SRORC,Cyclopentane,R245fa,101,2,True
DC-E,SRVCHP_SRORC,R601a,R600,101,3,True
DC-E,SRVCHP_SRORC,R1233zd(E),R227EA,101,4,False
DC-E,SRVCHP_SRORC,Cyclopentane,R227EA,101,5,False
DC-E,SBVCHP_SBORC,Acetone,R600,101,6,False
DC-E,SBVCHP_SBORC,Acetone,R236ea,101,7,False
DC-E,SBVCHP_SBORC,Acetone,R600a,101,8,False
DC-E,SBVCHP_SBORC,Acetone,R1234ze(E),101,9,False
DC-E,SBVCHP_SBORC,Cyclopentane,R227EA,101,10,False
DC-E,SRVCHP_SRORC,Acetone,R236ea,202,1,True
DC-E,SRVCHP_SRORC,Cyclopentane,R245fa,202,2,True
DC-E,SRVCHP_SRORC,R601a,R600,202,3,True
DC-E,SRVCHP_SRORC,Cyclopentane,R227EA,202,4,False
DC-E,SRVCHP_SRORC,R1233zd(E),R227EA,202,5,False
DC-E,SBVCHP_SBORC,Acetone,R600,202,6,False
DC-E,SBVCHP_SBORC,Acetone,R236ea,202,7,False
DC-E,SBVCHP_SBORC,Acetone,R600a,202,8,False
DC-E,SBVCHP_SBORC,Acetone,R1234ze(E),202,9,False
DC-E,SBVCHP_SBORC,Cyclopentane,R227EA,202,10,False
DC-F,SRVCHP_SRORC,Acetone,R365MFC,17,1,True
DC-F,SRVCHP_SRORC,Cyclopentane,R365MFC,17,2,True
DC-F,SRVCHP_SRORC,Acetone,R236ea,17,3,True
DC-F,SBVCHP_SBORC,Acetone,R365MFC,17,4,False
DC-F,SBVCHP_SBORC,Acetone,R236ea,17,5,False
DC-F,SRVCHP_SRORC,CycloHexane,R227EA,17,6,False
DC-F,SBVCHP_SBORC,Acetone,R236fa,17,7,False
DC-F,SRVCHP_SRORC,R1233zd(E),R227EA,17,8,False
DC-F,SBVCHP_SBORC,Cyclopentane,R236ea,17,9,False
DC-F,SBVCHP_SBORC,Cyclopentane,R227EA,17,10,False
DC-F,SRVCHP_SRORC,Acetone,R365MFC,42,1,True
DC-F,SRVCHP_SRORC,Cyclopentane,R365MFC,42,2,True
DC-F,SRVCHP_SRORC,Acetone,R236ea,42,3,True
DC-F,SBVCHP_SBORC,Acetone,R365MFC,42,4,False
DC-F,SBVCHP_SBORC,Acetone,R236ea,42,5,False
DC-F,SRVCHP_SRORC,CycloHexane,R227EA,42,6,False
DC-F,SRVCHP_SRORC,R1233zd(E),R227EA,42,7,False
DC-F,SBVCHP_SBORC,Acetone,R236fa,42,8,False
DC-F,SBVCHP_SBORC,Cyclopentane,R236ea,42,9,False
DC-F,SBVCHP_SBORC,Cyclopentane,R227EA,42,10,False
DC-F,SRVCHP_SRORC,Acetone,R365MFC,73,1,True
DC-F,SRVCHP_SRORC,Cyclopentane,R365MFC,73,2,True
DC-F,SRVCHP_SRORC,Acetone,R236ea,73,3,True
DC-F,SBVCHP_SBORC,Acetone,R365MFC,73,4,False
DC-F,SRVCHP_SRORC,CycloHexane,R227EA,73,5,False
DC-F,SBVCHP_SBORC,Acetone,R236ea,73,6,False
DC-F,SBVCHP_SBORC,Acetone,R236fa,73,7,False
DC-F,SRVCHP_SRORC,R1233zd(E),R227EA,73,8,False
DC-F,SBVCHP_SBORC,Cyclopentane,R236ea,73,9,False
DC-F,SBVCHP_SBORC,Cyclopentane,R227EA,73,10,False
DC-F,SRVCHP_SRORC,Acetone,R365MFC,101,1,True
DC-F,SRVCHP_SRORC,Cyclopentane,R365MFC,101,2,True
DC-F,SRVCHP_SRORC,Acetone,R236ea,101,3,True
DC-F,SBVCHP_SBORC,Acetone,R365MFC,101,4,False
DC-F,SBVCHP_SBORC,Acetone,R236ea,101,5,False
DC-F,SBVCHP_SBORC,Acetone,R236fa,101,6,False
DC-F,SRVCHP_SRORC,CycloHexane,R227EA,101,7,False
DC-F,SRVCHP_SRORC,R1233zd(E),R227EA,101,8,False
DC-F,SBVCHP_SBORC,Cyclopentane,R236ea,101,9,False
DC-F,SBVCHP_SBORC,Cyclopentane,R227EA,101,10,False
DC-F,SRVCHP_SRORC,Cyclopentane,R365MFC,202,1,True
DC-F,SRVCHP_SRORC,Acetone,R365MFC,202,2,True
DC-F,SRVCHP_SRORC,Acetone,R236ea,202,3,True
DC-F,SBVCHP_SBORC,Acetone,R365MFC,202,4,False
DC-F,SBVCHP_SBORC,Acetone,R236ea,202,5,False
DC-F,SRVCHP_SRORC,CycloHexane,R227EA,202,6,False
DC-F,SBVCHP_SBORC,Acetone,R236fa,202,7,False
DC-F,SRVCHP_SRORC,R1233zd(E),R227EA,202,8,False
DC-F,SBVCHP_SBORC,Cyclopentane,R236ea,202,9,False
DC-F,SBVCHP_SBORC,Cyclopentane,R227EA,202,10,False
